City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Hirara,JP,89.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
494,Kawalu,ID,78.84,broken clouds,-7.3817,108.2082,West Jontor
495,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
496,Saint-Georges,GD,79.41,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
499,Bojnurd,IR,76.95,broken clouds,37.4747,57.329,Hotel negin bojnourd
500,Wajir,KE,75.11,broken clouds,1.7471,40.0573,Mahatallah Hotel
501,Katsuura,JP,83.5,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
506,Kankakee,US,80.15,clear sky,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
511,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
514,Bogale,MM,78.55,overcast clouds,16.2833,95.4,Ngwe Taung
515,Nuevo Progreso,MX,75.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
517,Neyshabur,IR,84.45,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
519,Bastrop,US,76.68,scattered clouds,32.7562,-91.8724,Best Budget Inn
524,Dhidhdhoo,MV,80.98,broken clouds,6.8833,73.1,Dhidhoo beach
526,Puerto Escondido,MX,78.94,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
527,Tual,ID,80.69,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
531,Gushikawa,JP,89.6,clear sky,26.3544,127.8686,Kirari Guest House
533,Port Keats,AU,84.92,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
535,Safford,US,88.72,few clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
536,Mogadishu,SO,78.67,few clouds,2.0371,45.3438,Hotel Juba
538,Tevaitoa,PF,76.89,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
539,Krasnotorka,UA,83.77,clear sky,48.682,37.5327,Pansionat Paradiz
540,Zheleznodorozhnyy,RU,77.41,few clouds,55.7503,38.0042,Hotel Dali
541,Martaban,MM,76.24,overcast clouds,16.5314,97.6111,Lu Wa Gyi Guest House
542,Kalmunai,LK,89.91,overcast clouds,7.4167,81.8167,VS Villa
543,Nyaunglebin,MM,75.9,overcast clouds,17.95,96.7333,Thi ha
545,Pushkino,RU,77.29,few clouds,56.0172,37.8667,Mini Hotel Pushkino
548,Samarai,PG,81.59,clear sky,-10.6167,150.6667,Nuli Sapi
555,Portland,US,80.64,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
556,Brownsville,US,82.9,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
562,Lincoln,US,85.17,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
563,Onguday,RU,75.49,clear sky,50.75,86.15,Barskaya Usad'ba
569,Redwater,US,84.49,broken clouds,33.3582,-94.2544,Nettles Nest Country Inn
570,Russell,US,78.03,clear sky,32.3502,-85.1999,Macs
575,Kindu,CD,76.86,scattered clouds,-2.95,25.95,Résidence Okanda
577,Xichang,CN,83.43,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
581,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
583,Tawau,MY,86.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
585,Maningrida,AU,88.18,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
586,Kanchipuram,IN,88.57,overcast clouds,12.8333,79.7167,Hotel Adhi Residency
587,Kavaratti,IN,80.19,overcast clouds,10.5669,72.642,Green leaf
588,Kachiry,KZ,78.46,broken clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
590,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
594,Gizo,SB,84.06,light rain,-8.103,156.8419,Imagination Island
608,Gornopravdinsk,RU,76.42,broken clouds,60.05,69.9,Hostel
609,Griffith,US,84.88,clear sky,41.5284,-87.4237,Apartment above Depot Bar
612,Pafos,CY,81.23,few clouds,34.7667,32.4167,Elysium Hotel
615,Sulphur Springs,US,82.9,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
616,Tottori,JP,89.67,few clouds,35.5,134.2333,Hotel Monarque Tottori
618,Awjilah,LY,80.58,clear sky,29.1081,21.2869,المنزل
621,Surt,LY,81.63,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
623,Angoche,MZ,75.42,clear sky,-16.2325,39.9086,Guest House HESADA
626,Marmaris,TR,80.55,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
627,Marsaxlokk,MT,81.09,few clouds,35.8419,14.5431,Water's Edge
631,Ambilobe,MG,78.85,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
639,San Angelo,US,84.58,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
643,Atar,MR,89.73,broken clouds,20.5169,-13.0499,Oumou Elghoura
645,Palm Coast,US,84.0,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
648,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
651,Oskemen,KZ,75.16,broken clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
655,Intipuca,SV,76.95,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
657,Itarema,BR,75.18,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
660,Igra,RU,78.53,few clouds,57.5558,53.0547,Hostel Dilizhans
664,Shingu,JP,84.06,overcast clouds,33.7333,135.9833,Shingu UI Hotel
666,Kamra,PK,82.96,clear sky,33.7473,73.5111,Jangle Hotel
668,Kantunilkin,MX,75.61,broken clouds,21.0917,-87.45,Posada Paraiso
670,Kandrian,PG,83.03,broken clouds,-6.2167,149.55,Kandrian Station
671,Barcelona,ES,83.71,few clouds,41.3888,2.159,Axel Hotel Barcelona
672,Khiri Mat,TH,84.24,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
675,Waycross,US,75.97,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
676,Xuddur,SO,76.35,broken clouds,4.1213,43.8894,Banjanay Hotel
684,Quang Ngai,VN,86.61,overcast clouds,15.1167,108.8,Central Hotel
685,Galesong,ID,87.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
687,Srandakan,ID,79.97,overcast clouds,-7.9386,110.2506,Puri Brata
689,Panara,IN,78.58,overcast clouds,22.0667,78.55,Rahul Samuse Wala
692,Carutapera,BR,75.78,broken clouds,-1.195,-46.02,Lidera
693,Barreirinhas,BR,77.32,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
696,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
698,Baghmara,IN,89.11,broken clouds,23.795,86.2085,Shankar tea shop
701,Alekseyevka,RU,77.59,clear sky,50.6309,38.6903,Apartment on Ploshchad Pobedy
704,Cocobeach,GA,75.02,overcast clouds,1.0002,9.5823,Hotel Esperance
705,Esmeralda,CU,78.3,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
709,Honiara,SB,81.9,broken clouds,-9.4333,159.95,Heritage Park Hotel
711,Marbella,ES,76.24,clear sky,36.5154,-4.8858,El Fuerte Marbella
712,Usinsk,RU,80.76,clear sky,65.9939,57.5281,Dobro Pozhalovaty
715,Koutsouras,GR,82.11,clear sky,35.0339,25.9469,The White Houses
716,Novyy Svit,UA,81.27,few clouds,47.8059,38.0211,Энергетик
720,Lethem,GY,75.27,scattered clouds,3.3803,-59.7968,Savannah Inn
722,Aksu,CN,85.3,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
725,Hermosillo,MX,80.29,thunderstorm with light rain,29.0667,-110.9667,ibis Hermosillo
726,Florence,IT,83.14,clear sky,43.7667,11.25,Hotel Nuova Italia
732,Ust-Kulom,RU,80.26,clear sky,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
736,Canon City,US,75.02,overcast clouds,38.441,-105.2424,Travel Inn Motel
739,Cam Ranh,VN,85.96,light rain,11.9214,109.1591,OYO 598 Peony Hotel
742,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,Lamu House
744,Wanning,CN,85.89,overcast clouds,18.8003,110.3967,Paradise Hotel
745,Mangan,IN,88.2,few clouds,27.5167,88.5333,Hotel Mout View
751,Karaton,ID,87.28,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
752,Davila,PH,85.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
754,Chyhyryn,UA,77.22,clear sky,49.0838,32.6555,Panatseya
756,Bajil,YE,88.99,overcast clouds,15.0584,43.2851,فندق حضرموت
758,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
759,Pedasi,PA,76.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
760,Evanston,US,84.56,scattered clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
761,Zhob,PK,84.88,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
763,Aransas Pass,US,85.01,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
772,Luxor,EG,89.83,broken clouds,25.6989,32.6421,Iberotel Luxor
776,Pavlovsk,RU,81.45,clear sky,50.4578,40.1081,Grand-Otel'
784,Sabang,ID,82.27,overcast clouds,5.8933,95.3214,Hotel Citra
785,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
786,Ternate,ID,82.06,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
787,Kinablangan,PH,83.75,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
789,Petukhovo,RU,77.94,broken clouds,55.0692,67.9019,Гостиница
791,Olga,RU,77.79,light rain,43.7444,135.2892,Gostinitsa Rosmorport.
792,Nuevitas,CU,80.06,few clouds,21.5453,-77.2644,Hotel Caonaba
793,Kuching,MY,89.82,few clouds,1.55,110.3333,Hilton Kuching
794,Warwick,US,78.84,clear sky,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
800,Mayo,US,79.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
802,Vieques,PR,81.09,overcast clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
804,Barkhan,PK,86.14,scattered clouds,29.8977,69.5256,Sardar
805,Suffolk,US,78.93,clear sky,40.8668,-72.7996,Greenwood Village
806,Suba,PH,79.02,moderate rain,10.8438,121.0102,Jarnchi Pension House
808,Fairview,US,83.21,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
809,Bucerias,MX,77.99,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
811,Kiunga,PG,80.53,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
812,Igarassu,BR,75.22,scattered clouds,-7.8342,-34.9064,Granja Vista Alegre
813,Oussouye,SN,77.25,moderate rain,12.485,-16.5469,Auberge du Routard
814,Wajid,SO,76.93,broken clouds,3.8093,43.2471,xamdihotelresturant114
816,Kui Buri,TH,79.43,overcast clouds,12.0828,99.8543,Rista House & Resort
821,Dong Hoi,VN,81.21,moderate rain,17.4833,106.6,Nam Long Hotel
823,Sovetskiy,RU,81.75,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
829,Bradeni,RO,75.81,scattered clouds,46.0833,24.8333,Farmhouse Henndorf
830,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
835,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
836,Bartica,GY,77.32,clear sky,6.4,-58.6167,Sloth Island Nature Resort
839,Shieli,KZ,87.44,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
843,Jiayuguan,CN,79.63,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
844,Machilipatnam,IN,79.57,light rain,16.1667,81.1333,R&B Bungalow
845,Arkhipo-Osipovka,RU,78.4,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
846,Fare,PF,77.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
847,Bima,ID,89.42,scattered clouds,-8.4667,118.7167,Lambitu Hotel
850,Osa,RU,78.66,few clouds,57.2829,55.4567,Гостиница Оса
851,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
852,Galveston,US,84.96,clear sky,29.3669,-94.9669,Crystal Suites
